year,district,population,week,weekly hospitalized
2022,Comilla,440233,35,0
2022,Comilla,440233,36,0
2022,Comilla,440233,37,7
2022,Comilla,440233,38,24
2022,Comilla,440233,39,26
2022,Comilla,440233,40,11
2022,Comilla,440233,41,0
2022,Comilla,440233,42,30
2022,Comilla,440233,43,35
2022,Comilla,440233,44,100
2022,Comilla,440233,45,66
2022,Comilla,440233,46,53
2022,Comilla,440233,47,38
2022,Comilla,440233,48,26
2022,Comilla,440233,49,24
2022,Comilla,440233,50,24
2022,Comilla,440233,51,10
2022,Comilla,440233,52,0
2023,Comilla,440233,1,6
2023,Comilla,440233,2,0
2023,Comilla,440233,3,0
2023,Comilla,440233,4,0
2023,Comilla,440233,5,0
2023,Comilla,440233,6,0
2023,Comilla,440233,7,0
2023,Comilla,440233,8,0
2023,Comilla,440233,9,0
2023,Comilla,440233,10,2
2023,Comilla,440233,11,0
2023,Comilla,440233,12,1
2023,Comilla,440233,13,0
2023,Comilla,440233,14,0
2023,Comilla,440233,15,0
2023,Comilla,440233,16,0
2023,Comilla,440233,17,0
2023,Comilla,440233,18,0
2023,Comilla,440233,19,0
2023,Comilla,440233,20,0
2023,Comilla,440233,21,1
2023,Comilla,440233,22,3
2023,Comilla,440233,23,1
2023,Comilla,440233,24,0
2023,Comilla,440233,25,0
2023,Comilla,440233,26,0
2023,Comilla,440233,27,0
2023,Comilla,440233,28,85
2023,Comilla,440233,29,192
2023,Comilla,440233,30,293
2023,Comilla,440233,31,398
2023,Comilla,440233,32,395
2023,Comilla,440233,33,300
2023,Comilla,440233,34,274
2023,Comilla,440233,35,297
2023,Comilla,440233,36,322
2023,Comilla,440233,37,407
2023,Comilla,440233,38,418
2023,Comilla,440233,39,386
2023,Comilla,440233,40,336
2023,Comilla,440233,41,311
2023,Comilla,440233,42,296
2023,Comilla,440233,43,146
2023,Comilla,440233,44,150
2023,Comilla,440233,45,132
2023,Comilla,440233,46,118
2023,Comilla,440233,47,83
2023,Comilla,440233,48,74
2023,Comilla,440233,49,81
2023,Comilla,440233,50,42
2023,Comilla,440233,51,24
2023,Comilla,440233,52,18
2024,Comilla,440233,1,4
2024,Comilla,440233,2,11
2024,Comilla,440233,3,13
2024,Comilla,440233,4,3
2024,Comilla,440233,5,6
2024,Comilla,440233,6,3
2024,Comilla,440233,7,7
2024,Comilla,440233,8,13
2024,Comilla,440233,9,4
2024,Comilla,440233,10,3
2024,Comilla,440233,11,5
2024,Comilla,440233,12,5
2024,Comilla,440233,13,2
2024,Comilla,440233,14,6
2024,Comilla,440233,15,5
2024,Comilla,440233,16,23
2024,Comilla,440233,17,12
2024,Comilla,440233,18,5
2024,Comilla,440233,19,0
2024,Comilla,440233,20,6
2024,Comilla,440233,21,7
2024,Comilla,440233,22,8
2024,Comilla,440233,23,4
2024,Comilla,440233,24,4
2024,Comilla,440233,25,0
2024,Comilla,440233,26,15
2024,Comilla,440233,27,7
2024,Comilla,440233,28,41
2024,Comilla,440233,29,7
2024,Comilla,440233,30,4
2024,Comilla,440233,31,2
2024,Comilla,440233,32,18
2024,Comilla,440233,33,14
2024,Comilla,440233,34,17
2024,Comilla,440233,35,15
2024,Comilla,440233,36,19
2024,Comilla,440233,37,35
2024,Comilla,440233,38,64
2024,Comilla,440233,39,45
2024,Comilla,440233,40,84
2024,Comilla,440233,41,69
2024,Comilla,440233,42,127
2024,Comilla,440233,43,98
2024,Comilla,440233,44,0
2024,Comilla,440233,44,75
2024,Comilla,440233,45,102
2024,Comilla,440233,46,152
2024,Comilla,440233,47,105
2024,Comilla,440233,48,69
2024,Comilla,440233,50,42
2024,Comilla,440233,51,41
2024,Comilla,440233,52,10
2024,Comilla,440233,52,4
2022,Dhaka,10295786,1,21
2022,Dhaka,10295786,2,13
2022,Dhaka,10295786,3,11
2022,Dhaka,10295786,4,7
2022,Dhaka,10295786,5,6
2022,Dhaka,10295786,6,2
2022,Dhaka,10295786,7,1
2022,Dhaka,10295786,8,1
2022,Dhaka,10295786,9,1
2022,Dhaka,10295786,10,5
2022,Dhaka,10295786,11,0
2022,Dhaka,10295786,12,0
2022,Dhaka,10295786,13,4
2022,Dhaka,10295786,14,2
2022,Dhaka,10295786,15,5
2022,Dhaka,10295786,16,5
2022,Dhaka,10295786,17,6
2022,Dhaka,10295786,18,1
2022,Dhaka,10295786,19,12
2022,Dhaka,10295786,20,40
2022,Dhaka,10295786,21,33
2022,Dhaka,10295786,22,99
2022,Dhaka,10295786,23,129
2022,Dhaka,10295786,24,174
2022,Dhaka,10295786,25,178
2022,Dhaka,10295786,26,229
2022,Dhaka,10295786,27,212
2022,Dhaka,10295786,28,217
2022,Dhaka,10295786,29,322
2022,Dhaka,10295786,30,409
2022,Dhaka,10295786,31,554
2022,Dhaka,10295786,32,459
2022,Dhaka,10295786,33,548
2022,Dhaka,10295786,34,780
2022,Dhaka,10295786,35,1110
2022,Dhaka,10295786,36,1323
2022,Dhaka,10295786,37,1713
2022,Dhaka,10295786,38,1819
2022,Dhaka,10295786,39,2365
2022,Dhaka,10295786,40,2438
2022,Dhaka,10295786,41,2687
2022,Dhaka,10295786,42,3500
2022,Dhaka,10295786,43,3429
2022,Dhaka,10295786,44,3422
2022,Dhaka,10295786,45,3037
